Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
"20-Sep-2024","EQ","10.35","10.58","9.79","10.38","10.52","10.47","10.27","19.18","9.79","1,52,84,22,309","15,69,10,58,167.15","6,09,848"
"19-Sep-2024","EQ","12.99","13.02","10.00","12.90","10.44","10.38","11.10","19.18","10.00","2,50,07,56,453","27,76,30,92,015.87","7,97,599"
"18-Sep-2024","EQ","13.10","13.16","12.83","13.12","12.90","12.90","12.95","19.18","10.50","28,93,85,698","3,74,87,68,008.61","2,71,126"
"17-Sep-2024","EQ","13.25","13.28","13.07","13.24","13.11","13.12","13.19","19.18","10.50","17,93,83,176","2,36,53,27,925.15","1,26,634"
"16-Sep-2024","EQ","13.50","13.50","13.12","13.41","13.25","13.24","13.26","19.18","10.50","26,17,80,637","3,47,24,61,922.71","2,05,932"
"13-Sep-2024","EQ","13.65","13.66","13.36","13.52","13.39","13.41","13.51","19.18","10.30","19,82,09,238","2,67,69,03,158.10","1,60,940"
"12-Sep-2024","EQ","13.36","13.65","12.83","13.14","13.52","13.52","13.30","19.18","10.30","40,83,14,409","5,43,25,66,465.39","2,11,390"
"11-Sep-2024","EQ","13.74","13.77","13.03","13.53","13.19","13.14","13.42","19.18","10.30","35,80,61,345","4,80,66,30,432.03","2,13,564"
"10-Sep-2024","EQ","13.30","13.73","13.30","13.20","13.58","13.53","13.56","19.18","10.30","44,42,83,492","6,02,33,53,697.05","1,97,270"
"09-Sep-2024","EQ","13.35","13.58","12.98","13.35","13.27","13.20","13.25","19.18","10.30","62,88,33,307","8,33,41,44,471.14","3,07,697"
"06-Sep-2024","EQ","14.74","14.76","12.92","15.09","13.43","13.35","13.52","19.18","9.55","1,90,11,93,030","25,70,63,46,767.11","6,88,848"
"05-Sep-2024","EQ","14.90","15.22","14.80","14.83","15.06","15.09","14.98","19.18","9.55","28,67,40,484","4,29,65,40,398.55","1,96,417"
"04-Sep-2024","EQ","15.08","15.10","14.77","15.11","14.88","14.83","14.93","19.18","9.55","28,12,83,093","4,19,98,56,277.81","1,66,139"
"03-Sep-2024","EQ","15.10","15.26","15.00","15.05","15.11","15.11","15.14","19.18","9.55","27,24,27,038","4,12,44,86,858.54","1,47,611"
"02-Sep-2024","EQ","15.58","15.58","14.81","15.64","15.07","15.05","15.09","19.18","9.55","68,59,59,065","10,35,06,39,827.70","3,01,423"
"30-Aug-2024","EQ","16.44","16.44","15.39","16.30","15.47","15.64","15.76","19.18","8.50","4,21,37,07,883","66,41,02,12,827.15","3,72,117"
"29-Aug-2024","EQ","16.40","16.55","15.97","15.97","16.37","16.30","16.27","19.18","8.50","82,73,42,035","13,46,25,37,128.94","3,75,274"
"28-Aug-2024","EQ","16.05","16.17","15.82","16.04","16.02","15.97","15.99","19.18","8.50","40,17,12,642","6,42,23,38,171.33","1,95,145"
"27-Aug-2024","EQ","15.75","16.18","15.65","15.79","16.09","16.04","15.86","19.18","8.50","41,54,65,213","6,58,93,11,465.19","1,68,434"
"26-Aug-2024","EQ","15.96","15.98","15.62","15.82","15.76","15.79","15.82","19.18","8.50","24,34,27,186","3,85,05,94,997.55","1,51,111"
"23-Aug-2024","EQ","16.28","16.34","15.74","16.20","15.86","15.82","16.04","19.18","7.50","36,95,37,715","5,92,64,51,722.58","1,96,384"
"22-Aug-2024","EQ","15.95","16.29","15.91","15.94","16.27","16.20","16.11","19.18","7.50","27,86,52,089","4,48,97,29,196.27","1,56,455"
"21-Aug-2024","EQ","15.99","16.10","15.86","15.94","15.90","15.94","15.97","19.18","7.50","24,25,15,086","3,87,28,78,702.07","1,56,617"
"20-Aug-2024","EQ","16.06","16.29","15.91","15.95","15.94","15.94","16.09","19.18","7.50","30,94,90,369","4,98,10,85,978.78","1,75,655"
"19-Aug-2024","EQ","15.87","16.04","15.72","15.88","16.03","15.95","15.85","19.18","7.50","26,52,64,602","4,20,49,23,402.13","1,67,794"
